OBJECTID,ZIPCODE,GIS_ID,WEB_URL,EPA_URL,NAME,TYPE,UNINSURED_POPULATION,MEDICAID_RECIPIENT,LABEL,ZIP_CODE_TEXT,Shape_Length,Shape_Area,POP_2000,POP_2010
1,20036,ZIP_036,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20036, ,STANDARD,27,54,20036,20036,5901.08227627473,849613.393150857,3808,4764
2,20037,ZIP_037,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20037, ,STANDARD,91,290,20037,20037,16360.8024889927,1936377.70134184,12642,14544
3,20039,ZIP_039,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20039,LAMOND-RIGGS POST OFFICE,POST OFFICE BOX,0,1,20039,20039,36.292949005858,52.2044400005689,,
4,20040,ZIP_040,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20040,BRIGHTWOOD POST OFFICE,POST OFFICE BOX,0,5,20040,20040,28.5779604214806,34.6771850051047,,
5,20043,ZIP_043,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20043,MARTIN LUTHER KING JR POST OFFICE,POST OFFICE BOX,0,1,20043,20043,35.0392239853839,76.6948200230527,,
6,20045,ZIP_045,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20045,NATIONAL PRESS BUILDING,UNIQUE,0,0,20045,20045,268.774054408964,4117.21336086297,,
7,20049,ZIP_049,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20049,AARP,UNIQUE,0,0,20049,20049,107.760323839479,691.549268083356,,
8,20306,ZIP_306,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20306,ARMED FORCES INSTITUTE OF PATHOLOGY,UNIQUE,0,0,20306,20306,174.606466491287,1768.47750106444,,
9,20314,ZIP_314,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20314,US ARMY CORPS OF ENGINEERS,UNIQUE,0,0,20314,20314,148.639999993145,1380.19319987521,,
10,20317,ZIP_317,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20317,ARMED FORCES RETIREMENT HOME,UNIQUE,0,0,20317,20317,58.489622123382,210.842448982325,,
11,20319,ZIP_319,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20319,FORT LESLIE J. MCNAIR,UNIQUE,0,0,20319,20319,4075.71824865223,176692.768454786,,
12,20340,ZIP_340,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20340,BOLLING AIR FORCE BASE,UNIQUE,0,0,20340,20340,1923.07472757791,221347.501281562,,
13,20372,ZIP_372,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20372,NAVY BUREAU OF MEDICINE AND SURGERY,UNIQUE,0,0,20372,20372,1176.48209415787,36067.0391936008,,
14,20373,ZIP_373,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20373,ANACOSTIA NAVAL ANNEX,UNIQUE,0,0,20373,20373,6560.00296209331,1147130.85725484,,
15,20404,ZIP_404,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20404,GOVERNMENT PRINTING OFFICE PROCUREMENT,UNIQUE,0,0,20404,20404,63.337069668338,240.977151939339,,
16,20405,ZIP_405,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20405,GENERAL SERVICES ADMINISTRATION,UNIQUE,0,0,20405,20405,607.104377145475,20158.2802446619,,
17,20407,ZIP_407,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20407,GENERAL SERVICES ADMINISTRATION,UNIQUE,0,0,20407,20407,70.8297263736034,292.780690109698,,
18,20408,ZIP_408,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20408,NATIONAL ARCHIVES,UNIQUE,0,0,20408,20408,703.138664556708,29712.8120235527,,
19,20410,ZIP_410,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20410,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,UNIQUE,0,0,20410,20410,871.518103385274,26987.7403633607,,
20,20411,ZIP_411,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20411,FEDERAL HOUSING ADMINISTRATION,UNIQUE,0,0,20411,20411,74.194000005722,338.451262038404,,
21,20412,ZIP_412,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20412,FEDERAL HOUSING ADMINISTRATION,UNIQUE,0,0,20412,20412,76.2062052052192,352.605192124242,,
22,20415,ZIP_415,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20415,OFFICE OF PERSONNEL MANAGEMENT,UNIQUE,0,0,20415,20415,632.358208433033,21322.0458974889,,
23,20374,ZIP_374,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20374,WASHINGTON NAVY YARD,UNIQUE,0,0,20374,20374,4221.50439190639,263075.66367385,,
24,20375,ZIP_375,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20375,NAVAL RESEARCH LABRATORY,UNIQUE,0,0,20375,20375,3442.66489444348,494827.925350244,,
25,20376,ZIP_376,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20376,NAVAL SEA SYSTEMS COMMAND,UNIQUE,0,0,20376,20376,1197.24918636107,40445.87582585,,
26,20388,ZIP_388,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20388,NAVY CRIMINAL INVESTIGATIVE SERVICE,UNIQUE,0,0,20388,20388,346.916246802386,6963.08441124657,,
27,20390,ZIP_390,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20390,WASHINGTON NAVY YARD,UNIQUE,0,0,20390,20390,661.422370573563,11097.532309448,,
28,20392,ZIP_392,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20392,US NAVAL OBSERVATORY,UNIQUE,0,0,20392,20392,2450.84252876786,289635.13482652,,
29,20398,ZIP_398,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20398,MILITARY SEALIFT COMMAND,UNIQUE,0,0,20398,20398,208.668273988628,2161.4590337187,,
30,20401,ZIP_401,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20401,US GOVERNMENT PRINTING OFFICE,UNIQUE,0,0,20401,20401,609.413287380636,8918.83148867551,,
31,20402,ZIP_402,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20402,US GOVERNMENT PRINTING OFFICE,UNIQUE,0,0,20402,20402,61.6780000030994,231.834190017221,,
32,20403,ZIP_403,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20403,US GOVERNMENT PRINTING OFFICE,UNIQUE,0,0,20403,20403,70.978111962037,306.699435990442,,
33,20052,ZIP_052,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20052, ,UNIQUE,91,290,20052,20052,4966.05275115405,165642.241631929,1226,1277
34,20056,ZIP_056,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20056,T STREET POST OFFICE BOX,POST OFFICE BOX,0,0,20056,20056,21.6065585886199,21.1689719990334,,
35,20057,ZIP_057,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20057,GEORGETOWN UNIVERSITY,UNIQUE,0,0,20057,20057,2471.16957704578,285426.374663735,4460,3888
36,20059,ZIP_059,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20059,HOWARD UNIVERSITY,UNIQUE,0,0,20059,20059,3364.10751883503,287668.224274483,553,306
37,20060,ZIP_060,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20060,HOWARD UNIVERSITY HOSPITAL,UNIQUE,0,0,20060,20060,877.206836936635,43781.5999019211,,
38,20062,ZIP_062,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20062,CHAMBER OF COMMERCE,UNIQUE,0,0,20062,20062,227.482457001455,3178.41796850836,,
39,20064,ZIP_064,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20064,CATHOLIC UNIVERSITY OF AMERICA,UNIQUE,0,0,20064,20064,3471.9884813567,380183.20486343,3489,3669
40,20071,ZIP_071,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20071,THE WASHINGTON POST BUILDING,UNIQUE,0,0,20071,20071,279.188462014201,4419.16505046198,,
41,20201,ZIP_201,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20201,DEPT OF HEALTH AND HUMAN SERVICES,UNIQUE,0,0,20201,20201,1071.20722195807,41808.4046047766,,
42,20202,ZIP_202,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20202,DEPARTMENT OF EDUCATION,UNIQUE,0,0,20202,20202,534.898696813556,15672.8250356804,,
43,20208,ZIP_208,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20208,NATIONAL INSTITUTE OF EDUCATION,UNIQUE,0,0,20208,20208,20.5665322510905,25.0804639978909,,
44,20210,ZIP_210,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20210,DEPARTMENT OF LABOR,UNIQUE,0,0,20210,20210,63.984340551879,253.237376078943,,
45,20211,ZIP_211,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20211,DEPARTMENT OF LABOR,UNIQUE,0,0,20211,20211,68.2518276366289,290.85304511835,,
46,20212,ZIP_212,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20212,BUREAU OF LABOR STATISTICS,UNIQUE,0,0,20212,20212,88.7100000008941,482.265576012035,,
47,20213,ZIP_213,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20213,MANPOWER ADMINISTRATION,UNIQUE,0,0,20213,20213,57.832000002265,207.933363019062,,
48,20215,ZIP_215,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20215,PAY AUDIT DIVISION,UNIQUE,0,0,20215,20215,54.1638636248048,181.28631850249,,
49,20216,ZIP_216,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20216,LABOR MANAGEMENT ADMIN.,UNIQUE,0,0,20216,20216,62.949884679116,236.20937402696,,
50,20217,ZIP_217,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20217,U.S. TAX COURT,UNIQUE,0,0,20217,20217,414.685130678197,8726.89573758862,,
51,20220,ZIP_220,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20220,DEPARTMENT OF THE TREASURY,UNIQUE,0,0,20220,20220,46.0749284537679,132.427957005257,,
52,20221,ZIP_221,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20221,INTERNAL REVENUE SERVICE,UNIQUE,0,0,20221,20221,153.174968743061,815.568554483645,,
53,20222,ZIP_222,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20222,INTERNAL REVENUE SERVICE,UNIQUE,0,0,20222,20222,240.858454569392,2191.83173902084,,
54,20223,ZIP_223,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20223, ,UNIQUE,0,1,20223,20223,1386.33380048989,37167.2814664263,,
55,20224,ZIP_224,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20224,INTERNAL REVENUE SERVICE,UNIQUE,0,0,20224,20224,785.146710505283,24655.0226665164,,
56,20226,ZIP_226,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20226,INTERNAL REVENUE SERVICE,UNIQUE,0,0,20226,20226,294.621813723234,3232.93782540466,,
57,20227,ZIP_227,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20227,TREASURY FINANCIAL MANAGEMENT SERVICE,UNIQUE,0,0,20227,20227,360.006000021945,3606.31534000598,,
58,20228,ZIP_228,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20228,BUREAU OF ENGRAVING AND PRINTING,UNIQUE,0,0,20228,20228,978.520286690807,27245.458963323,,
59,20229,ZIP_229,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20229,U.S. CUSTOMS SERVICE,UNIQUE,0,0,20229,20229,484.328801738824,5903.12671023301,,
60,20230,ZIP_230,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20230,DEPARTMENT OF COMMERCE,UNIQUE,0,0,20230,20230,648.807391823371,23234.4899877109,,
61,20237,ZIP_237,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20237,BROADCASTING BOARD OF GOVERNORS,UNIQUE,0,0,20237,20237,466.648025069246,13596.8960504022,,
62,20239,ZIP_239,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20239,BUREAU OF PUBLIC DEBT,UNIQUE,0,0,20239,20239,37.0360000059009,85.0986450247388,,
63,20240,ZIP_240,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20240,DEPARTMENT OF THE INTERIOR,UNIQUE,0,0,20240,20240,1620.80456084585,47598.5597423992,,
64,20242,ZIP_242,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20242,NATIONAL PARK SERVICE,UNIQUE,0,0,20242,20242,1400.77681110041,45778.4270443827,,
65,20245,ZIP_245,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20245,OFFICE OF SURFACE MINING,UNIQUE,0,0,20245,20245,309.043724459591,5654.75533470554,,
66,20250,ZIP_250,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20250,DEPARTMENT OF AGRICULTURE,UNIQUE,0,0,20250,20250,1019.80646488127,58999.7504238185,,
67,20254,ZIP_254,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20254,SOCIAL SECURITY ADMINISTRATION,UNIQUE,0,0,20254,20254,48.4730837938243,143.6354639292,,
68,20260,ZIP_260,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20260,UNITED STATES POSTAL SERVICE,UNIQUE,0,0,20260,20260,897.690416881628,12752.9838387214,,
